City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
DC,515553994,397793017,164663,274209,(D),(D),(D),5554581,(D),15116502,(D),8146723,(D),95282763,(D),(D),(D),(D),(D),16377734,35159682,(D),(D),(D),(D),(D),19989844,117760977,438872,(D),(D),39558538,31600352,366192664,430564944,305156538,39809973,3356486,373554,36079933,85598433,6213246,69298,49114,6407,540,60,5807,13777,352501599,256538344,58641677,40334267,18307410,37321578,-89627,37411205,4360516,3389958,970558,8032,962526,80839,75676,38868,1,1600000,304000,81,97,47,0,1,2524980,31172.59259,175587301,1,3100000,482000,0,0,1,1350000,222000,1,0,0,0,0,0,0,0.4375,7,601405,75175.625,2017
Denver,201951685,181760104,(D),2406681,(D),11250563,(D),7898812,(D),14697076,(D),9478376,13279520,43187543,14674105,28513439,34351409,21472065,5874387,7004957,14560467,2095599,12464868,9700061,3483443,6216617,4459076,20191581,(D),(D),(D),(D),(D),(D),175325511,120192448,18913930,1433598,224605,17255727,36219133,2892979,60604,41546,6538,496,78,5965,12520,136468974,98019557,18529360,11677367,6851993,19920057,-20197,19940254,2036345,1530239,506106,4692,501414,67017,64055,39768,1,1000000,248000,81,87,46,0,0,2953650,36464.81481,106650000,1,2600000,411000,0,0,1,1125000,202000,0,1,0,0,0,0,0,0.3125,5,610846,76355.75,2017
Green Bay,19783533,17956231,766323,37683,(D),755866,3133086,1131335,2001751,1332670,926476,736448,271992,4746000,2845951,1900050,1899749,(D),603651,(D),(D),(D),(D),863134,425741,437393,356080,1827303,804006,2259146,(D),3405078,4692958,13263272,15753400,10449646,2340471,162762,23196,2154513,2963283,319786,49262,32677,7319,509,73,6737,9266,12393196,8887827,2305289,1643350,661939,1200080,158674,1041406,218434,183505,34929,2429,32500,56737,48434,32043,0,0,0,0,0,0,0,0,0,0,0,1,2550000,421000,0,0,0,0,0,0,0,1,0,0,0,0,0.4375,7,624742,78092.75,2017
Houston,447521203,409480835,(D),19904313,(D),27531598,73994639,24437180,49557458,41788333,22821323,(D),9032605,64559582,21682212,42877370,65811706,40423721,8324157,17063827,28798485,4400324,24398161,(D),(D),(D),8910519,38040368,(D),64609656,(D),83027244,(D),(D),369310576,263160503,43920585,5737859,714789,37467937,62229488,6905695,53479,38108,6360,831,104,5426,9011,295188537,200847181,39529018,26210053,13318965,54812338,-27049,54839387,4180623,3101880,1078743,13483,1065260,70609,64750,51480,1,1450000,299000,81,101,48,1,1,2403671,29674.95062,157656400,1,2800000,433000,0,0,1,2200000,296000,0,1,0,0,0,0,0,0.25,4,574197,71774.625,2017
LA,995114475,902845003,315727,1119753,6455661,32022574,89715268,57435123,32280146,65311413,49873648,28297680,106574071,251854958,61967131,189887827,122678711,77419503,13028855,32230353,74987743,12655643,62332099,53229177,23353228,29875949,20408619,92269472,1435480,115185060,34753342,196289339,123173323,779671680,806547539,507977848,115508224,12381385,1517090,101609749,183061467,13298709,60649,38198,8686,931,114,7641,13765,589652411,407725616,92953871,65263275,27690596,88972924,65975,88906949,8685121,6414389,2270732,1134,2269598,67892,63564,39173,2,4500000,812000,162,184,100,0,1,6785441,41885.43827,382591763,2,5275000,725000,0,0,2,5450000,628000,1,0,0,0,0,1,1,0.625,20,709823,44363.9375,2017
Louisville,69353685,63082111,(D),94478,(D),3028139,(D),6025239,(D),(D),3850580,(D),(D),13541022,(D),(D),(D),(D),(D),2366267,7022057,472708,6549349,3084451,(D),(D),(D),6271574,(D),(D),(D),12596231,(D),(D),60704406,38824997,11111033,918261,80910,10111862,10768376,1260391,48163,30804,8816,729,64,8023,8544,45234274,33553640,7595579,5091425,2504154,4085055,17294,4067761,819134,670453,148681,5834,142847,55222,50046,28476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017
Milwaukee,99362796,90847230,104725,164271,1521713,3528856,16572198,11987692,4584506,7275991,5012296,2410400,3119121,20281886,7945020,12336866,13055237,6348116,3583541,3123581,12426404,2316835,10109569,3154293,877573,2276720,2219840,8515565,268996,12288287,3932112,19691319,20370049,70477181,85397956,54364939,14068130,1657832,121652,12288646,16964887,1575151,54216,34514,8931,1052,77,7802,10770,64441418,47201095,11642248,8105786,3536462,5598075,19356,5578719,1054130,886263,167867,1434,166433,61132,53259,33519,1,925000,239000,84,86,46,0,0,2627705,31282.20238,68439300,0,0,0,0,0,1,1075000,179000,0,0,1,0,0,0,0,0,0,0,0,2017
Minneapolis,250712063,227575338,569677,464121,(D),9639830,34450330,23180556,11269774,19659195,12860855,8297372,9776039,51269488,26060849,25208639,(D),(D),(D),7569594,(D),(D),(D),9146414,2945414,6201000,5303839,23136725,1033798,32520050,(D),44226369,45123959,182451379,215263552,143903648,27774285,2511611,444991,24817683,43585619,3577765,60167,40222,7763,702,124,6937,12182,164324550,124113056,25357127,16450576,8906551,14854367,98966,14755401,2503165,2033712,469453,9846,459607,65647,61028,32104,1,1025000,249000,81,85,41,0,0,2051279,25324.4321,103932500,1,2400000,392000,0,0,1,1060000,204000,0,1,0,0,0,1,1,0.8125,13,533769,66721.125,2017
Nashville,124550942,114724100,(D),229349,261788,(D),13449086,8574230,4874856,8927746,7711773,4333516,5329523,20502828,(D),(D),17606132,(D),(D),5166377,18741718,1997204,16744513,8986115,4463442,4522672,2964645,9826842,(D),16639519,4595304,18778609,19358318,95365782,103882532,76331464,13238757,1174148,53847,12010762,14312311,1875736,55382,40694,7058,626,29,6403,7630,86488684,53640233,10523687,6862597,3661090,22324764,-33207,22357971,1328037,995388,332649,11841,320808,65125,53889,69693,0,0,0,0,0,0,0,0,0,0,0,1,2050000,366000,0,0,0,0,0,0,0,1,0,0,0,1,0.5625,9,525214,65651.75,2017
NYC,1698122298,1551721038,(D),351130,(D),53628826,68205038,(D),(D),(D),73678161,44836314,135739477,562444856,309974323,252470533,250633800,165045542,35387544,50200713,147042309,29357601,117684708,70927391,27619808,43307584,32158413,146401260,(D),(D),(D),203944515,(D),(D),1409827684,900105468,210081879,20734555,2761188,186586136,299640337,19325698,72951,46576,10871,1073,143,9655,15505,1039209424,728746127,151688356,101618911,50069445,158774941,88976,158685965,12604575,9545293,3059282,4871,3054411,82447,76346,51953,2,5700000,858000,162,161,88,0,0,5615560,34663.95062,182424700,2,6050000,908000,0,0,2,5900000,699000,1,0,0,0,0,0,0,0.25,8,1237930,77370.625,2017
Providence,84465308,73565418,(D),48283,1388994,(D),(D),6321507,(D),(D),4976477,(D),1934816,18949747,6512529,12437218,9821504,4616798,2700168,2504539,10833297,2147915,8685382,3897460,886388,3011072,1871074,10899890,(D),(D),(D),(D),12729512,60835906,84324547,52988912,17371327,1725299,300667,15345361,13964308,1617057,52147,32769,10743,1067,186,9490,8636,53775713,38769321,9273026,6245789,3027237,5733366,19954,5713412,941495,745060,196435,1575,194860,57117,52035,29321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017
San Fran,509382318,465068944,(D),183056,4097570,19367261,49592520,19330537,30261983,21515320,22512037,(D),57535757,113133895,40180694,72953201,98961728,72933301,11630163,14398264,32467657,5032086,27435571,20620106,6369203,14250902,8495609,44313374,(D),44027357,(D),107128278,(D),(D),436388051,291408671,36966796,2744457,529492,33692847,108012584,4710693,92638,61861,7847,583,112,7152,22929,321642003,232605667,44087060,30353050,13734010,44949276,150091,44799185,3351475,2538623,812852,1266,811586,95970,91627,55200,1,2650000,428000,81,64,38,0,0,3303652,40785.82716,177399833,1,3050000,458000,0,0,1,3100000,359000,1,0,0,0,0,0,0,0.375,6,561155,70144.375,2017
Seattle,360940192,325526334,785230,140003,426792,14597054,44595974,38722285,5873689,22208328,31078602,11248231,58108007,58678054,14135958,44542097,40855996,26681005,4814678,9360312,22739166,2037922,20701244,13495146,3163915,10331231,6569751,35413858,925233,53286930,11675023,102703981,60118262,265408072,271575069,178026916,28392752,2697169,583303,25112280,65155401,3884469,69913,45830,7309,694,150,6465,16773,206081998,152122741,31301676,19086692,12214984,22657581,151428,22506153,2611999,2097087,514912,4101,510811,78898,72540,44060,1,1400000,289000,81,78,40,0,0,2135445,26363.51852,172438700,1,2425000,399000,0,0,0,0,0,0,1,0,0,0,0,0,0.5625,9,551809,68976.125,2017
Tampa Bay,150163428,135411462,256824,57720,2258273,6516382,11488171,6330008,5158164,10354664,11025294,3326955,6053276,36237965,12173720,24064245,21848373,(D),(D),5880978,15551714,1514372,14037341,7008536,1815753,5192783,3427314,14751966,314544,21379958,5585229,17541447,18319098,117092364,140073159,82236499,29706735,2569641,72046,27065048,28129925,3091225,45313,26603,9610,831,23,8755,9100,92183330,70522326,14919277,10149301,4769976,6741727,62614,6679113,1780852,1360582,420270,3516,416754,51764,51832,16027,1,825000,205000,81,80,42,0,0,1253619,15476.77778,79473033,1,1975000,367000,0,0,0,0,0,0,1,0,0,0,0,0,0.3125,5,479618,59952.25,2017
Tucson,42469565,34343413,(D),737325,(D),1567626,4638004,4374850,263154,1303957,2926870,1058415,1535272,8813796,1461229,7352567,4085705,2299825,180803,1605077,4495213,332649,4162564,(D),(D),1603033,954763,8126152,(D),4230827,(D),6173275,(D),(D),43291870,23180773,10330497,752022,41635,9536840,9780600,1027502,42133,22560,10054,732,41,9282,9519,26135807,18432256,4704376,3353723,1350653,2999175,27182,2971993,518656,398246,120410,739,119671,50391,46284,24835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017
Vegas,112818447,100866089,9747,98006,1683750,4848701,3557084,2479843,1077241,4605199,8188695,5524484,3735480,23363993,4967276,18396717,12390514,5342728,3029952,4017834,7548850,580438,6968412,23232768,3875656,19357112,2078819,11952358,107753,12793894,7208233,7292564,8513538,92352551,98439211,58863446,16419129,1697286,250676,14471167,23156636,2183310,45087,26961,7520,777,115,6628,10606,66752973,49410307,11156921,7578010,3578911,6185745,-2608,6188353,1306107,1003312,302795,177,302618,51108,49247,20449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
Virginia Beach,96826221,69044425,(D),21232,272902,(D),9834936,5297546,4537390,3159810,6085969,(D),1985947,17746864,(D),(D),(D),5952947,1620992,(D),7822433,1018703,6803730,3499167,595245,2903922,1874519,27781796,(D),9245779,(D),11820883,13531475,55512950,85397443,52077294,14670221,1308675,79303,13282243,18649928,1761305,48485,29567,8329,743,45,7541,10589,59014934,43699913,12070517,8652284,3418233,3244504,5000,3239504,1073003,878318,194685,1513,193172,55000,49754,16770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017
Atlanta,397261292,364759335,(D),391170,(D),17631615,32017970,14944222,17073748,36012805,19828344,19753622,43253614,82310891,35517970,46792921,59609755,34252163,9527029,15830564,(D),(D),23688518,12494151,2459168,10034983,6960276,32501958,(D),55841149,(D),75271584,(D),(D),312213493,215658016,39746722,4377571,192140,35177011,56808755,5949951,52473,36245,6680,736,32,5912,9548,241551391,176490365,35717969,24183785,11534184,29343057,253209,29089848,3875139,2854932,1020207,6364,1013843,62334,61819,28693,1,1625000,336000,81,90,43,0,1,2555781,31552.85185,115848667,1,2600000,451000,0,0,1,1300000,215000,1,0,0,0,0,0,0,0.4375,7,583184,72898,2018
Austin,146784519,129923223,64009,1004599,(D),9039018,16956088,14933236,2022852,15052915,8229820,2766273,(D),22223873,8088199,14135674,(D),(D),(D),5116202,9391591,1184222,8207369,6493427,1051196,5442231,3561690,16861297,1068608,23282734,(D),(D),27063715,102859508,127439164,90476329,12286162,972561,142424,11171177,24676673,2168316,58773,41727,5666,449,66,5152,11381,100076602,68589975,13272980,8879584,4393396,18213647,-41148,18254795,1506528,1093025,413503,7872,405631,66429,62752,45003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018
Boise,34391872,30322535,231892,52153,250964,2676185,4611827,3639670,972157,(D),2591115,902468,(D),6148613,1935157,4213456,4200108,(D),601868,(D),3517190,269358,3247831,(D),(D),(D),694659,4069338,284044,(D),1153432,(D),7572057,22750478,33580111,20950568,5387538,387110,35444,4964984,7242005,730426,45973,28683,7376,530,49,6797,9915,23471720,16456264,3755349,2420730,1334619,3260107,28672,3231435,446444,340753,105691,4657,101034,52575,48294,31984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018
Boston,463570556,423777323,(D),155490,5665815,(D),(D),(D),(D),22941576,16415720,(D),30189310,108829507,48386550,60442956,93770035,69142511,11113569,13513954,54383326,14662180,39721145,19024492,6298959,12725533,8124151,39793233,(D),39357296,(D),(D),(D),(D),383664542,254566210,44502152,3593475,826171,40082506,84596180,4875390,78694,52215,9128,737,169,8221,17352,303977308,223136774,44778168,30476697,14301471,36062366,-3044,36065410,3689664,2861915,827749,2534,825215,82386,77968,43704,1,2800000,453000,81,108,57,1,1,2895575,35747.83951,222205000,1,3800000,593000,0,0,1,2800000,287000,0,1,0,0,1,1,1,0.6875,11,527024,65878,2018
Charlotte,169862912,155500888,(D),249751,(D),(D),20329549,9819484,10510066,(D),8262978,(D),(D),42904702,26018726,16885976,(D),(D),6673629,(D),9073933,1079782,7994151,7842851,(D),(D),3222520,14362024,(D),(D),(D),(D),(D),(D),135350409,93075807,19642174,1804668,69236,17768270,22632428,2594090,52176,35880,7572,696,27,6850,8725,105406025,76729025,14959767,9771573,5188194,13717233,285932,13431301,1638822,1289497,349325,6228,343097,64318,59503,39147,0,0,0,0,0,0,0,0,0,0,0,1,2300000,396000,0,0,1,1250000,213000,0,0,1,0,0,0,0,0.4375,7,590182,73772.75,2018
Chicago,689464744,630153235,246450,420537,6513454,25049344,81388229,37736518,43651711,59023509,32482186,29796704,(D),155341510,70754793,84586718,106244266,66344251,13556470,26343545,60603119,12172301,48430818,(D),(D),(D),(D),59311509,666988,91505695,36310158,(D),107104561,523048674,580270144,380912991,76909948,7857513,1091564,67960871,122447205,9498716,61089,40102,8097,827,115,7155,12891,430065585,317003050,69954192,48882374,21071818,43108343,-64911,43173254,6186561,4872980,1313581,5288,1308293,69516,65053,33000,2,4400000,723000,163,157,81,0,0,4789906,29385.92638,212883081,1,2900000,431000,0,0,1,2900000,287000,1,0,0,0,0,0,0,0.75,12,490750,61343.75,2018
Cleveland,134369570,120985496,(D),161003,1229742,4321810,19170522,12626415,6544107,9704708,6672423,(D),3813244,32075237,16209552,15865685,17551644,8820198,4255609,4475837,14814510,1813077,13001433,5203651,1964939,3238712,2799011,13384074,(D),16377132,(D),22983766,(D),(D),110538721,68837668,20301350,1724580,170875,18405895,21399703,2057009,53738,33465,9869,838,83,8948,10403,82219748,59918359,13938967,9650736,4288231,8362422,48215,8314207,1351016,1083202,267814,2690,265124,60858,55316,31360,1,1045000,284000,81,91,49,0,1,1926701,23786.4321,143375233,1,1950000,375000,0,0,1,1275000,302000,0,0,1,0,0,0,0,0.4375,7,526122,65765.25,2018
DC,540684444,418006420,(D),(D),(D),(D),(D),5885889,(D),15695985,19030964,8848338,(D),100487810,(D),(D),(D),(D),(D),17105598,(D),(D),(D),20180714,4220345,15960368,21017423,122678024,(D),34726949,(D),41351789,(D),(D),453978195,319765985,42070191,3294618,346763,38428810,92142019,6263245,72483,51054,6717,526,55,6136,14712,369184903,268646661,61447875,42555311,18892564,39090367,-79932,39170299,4445776,3437069,1008707,7946,1000761,83042,78162,39141,1,1675000,1675000,81,82,41,0,0,2529604,31229.67901,188886699,1,3100000,491000,0,0,1,1550000,255000,1,0,0,0,0,0,0,0.4375,7,488227,61028.375,2018
Denver,214157605,193081016,(D),2740163,(D),12091193,(D),8243102,(D),15179817,(D),10507132,(D),46261211,(D),(D),(D),(D),5578570,(D),15346947,(D),(D),10411294,3778322,6632972,4741210,21076589,(D),(D),(D),28115726,(D),(D),188515221,128686136,20504629,1399706,193235,18911688,39324456,2932415,64287,43884,6992,477,66,6449,13410,145819271,103749152,19548222,12389517,7158705,22521897,-18579,22540476,2094120,1569762,524358,4691,519667,69633,66092,43375,1,1100000,266000,81,91,47,0,0,3015880,37233.08642,136658500,1,2650000,427000,0,0,1,1375000,222000,0,1,0,0,0,0,0,0.375,6,611571,76446.375,2018
Green Bay,20528996,18637864,557813,49813,213324,798780,3288324,1220794,2067530,1384193,967549,785335,(D),4896576,(D),(D),(D),(D),658394,(D),(D),(D),(D),978770,525593,453177,(D),1891132,607626,2351742,998659,(D),4694730,13943134,16578948,10879499,2482395,158268,21914,2302213,3217054,321591,51553,33830,7719,492,68,7159,10004,12928502,9363741,2428240,1753973,674267,1136521,68924,1067597,222303,186401,35902,2428,33474,58157,50234,31893,0,0,0,0,0,0,0,0,0,0,0,1,2630000,434000,0,0,0,0,0,0,0,1,0,0,0,0,0.375,6,622677,77834.625,2018
Houston,478778576,439450840,(D),20468439,8153090,29081654,84800005,25938530,58861475,43535737,24012906,(D),(D),68963066,23337586,45625481,70687481,43316415,(D),(D),(D),(D),(D),16706532,4082959,12623573,9505834,39327736,(D),67548643,(D),(D),(D),(D),392394285,279013144,45723710,5070631,554080,40098999,67657431,6997384,56077,39874,6534,725,79,5731,9669,312328873,210759076,41230288,27633516,13596772,60339509,-78669,60418178,4284476,3170568,1113908,13395,1100513,72898,66474,54900,1,1650000,347000,81,103,46,0,1,2980549,36796.90123,172781200,1,2800000,464000,0,0,1,2300000,326000,0,1,0,0,0,1,1,0.6875,11,574439,71804.875,2018
LA,1047661346,951729886,276696,1205091,6397604,33738114,93939097,60467225,33471872,69456120,52894455,32038330,112260585,262159515,64130321,198029194,130175065,81896589,14052593,34225883,79356009,13423138,65932871,57004999,24799407,32205592,20828206,95931460,1481787,122350574,38435934,206199682,129158998,822570888,849493416,529482938,121416679,12052857,1404915,107958907,198593799,13291486,63913,39836,9135,907,106,8122,14941,615566666,426294430,97399537,68568949,28830588,91872699,39835,91832864,8889754,6536737,2353017,1117,2351900,69245,65215,39046,2,4800000,856000,163,172,87,0,1,6877716,42194.57669,331553095,2,5480000,712000,0,0,2,5900000,653000,1,0,0,0,0,1,2,0.78125,25,841584,52599,2018
Louisville,72093890,65629910,(D),77933,746198,3116050,(D),(D),5035987,(D),3919997,(D),1773981,14284045,7104146,7179899,(D),3987652,(D),2502623,7241880,492167,6749713,(D),(D),(D),(D),6463980,(D),(D),(D),(D),(D),(D),63372715,40187428,11520849,888263,81931,10550655,11664438,1264908,50101,31771,9108,702,65,8341,9222,46821491,34651599,7913791,5371130,2542661,4256101,20473,4235628,829070,675864,153206,5770,147436,56475,51270,28729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018
Milwaukee,103731937,95091546,56180,222593,1659801,3721951,17170269,12382931,4787338,7528171,5201466,2613412,3296072,20985738,8028590,12957149,13900261,6740382,3831668,3328210,12964357,2423871,10540486,3420088,1042968,2377120,2351186,8640391,278773,12729637,4273214,20466342,21170992,73920553,89846100,56668589,14769973,1625370,109132,13035471,18407538,1576113,57005,35955,9371,1031,69,8271,11679,67042688,49145061,12064631,8507493,3557138,5832996,2282,5830714,1067853,894634,173219,1434,171785,62783,54933,33942,1,1030000,255000,81,96,51,0,1,2850875,35195.98765,109295700,0,0,0,0,0,1,1350000,204000,0,0,1,0,0,0,0,0,0,0,0,2018
Minneapolis,263690946,239319681,512314,549585,2963215,10063452,36549052,24153029,12396023,20278779,13418064,8655194,9818704,55041375,28766258,26275116,42540908,(D),(D),7555746,23731176,(D),(D),9713051,3250152,6462899,5484813,24371265,1061899,33696843,11618408,46367757,47674403,191645278,227292301,150284620,29573003,2453067,428217,26691719,47434678,3614162,62889,41582,8183,679,118,7385,13125,171629330,129581507,26669311,17489538,9179773,15378512,-12469,15390981,2546419,2062023,484396,9810,474586,67400,62842,32430,1,1150000,261000,81,78,49,0,0,1959197,24187.61728,110275000,1,2400000,408000,0,0,1,1260000,223000,0,1,0,0,0,0,0,0.5,8,534491,66811.375,2018
Nashville,132202284,122012657,167255,336192,266273,5907225,13595912,8527191,5068721,9303972,8048718,4767683,5659160,22238413,(D),(D),19267457,10865525,2955553,5446379,19489602,2066423,17423179,9790210,4865925,4924285,3174585,10189627,503446,17352690,5033956,19255072,20006583,102006074,110453223,80838537,14029066,1133095,50008,12845963,15585620,1905898,57953,42415,7361,595,26,6740,8178,91563327,57344311,11090216,7288320,3801896,23128800,-76106,23204906,1366725,1022902,343823,11834,331989,66995,56060,69897,0,0,0,0,0,0,0,0,0,0,0,1,2050000,371000,0,0,0,0,0,0,0,1,0,0,0,0,0.5625,9,516161,64520.125,2018
NYC,1772319824,1611477854,(D),(D),17142894,55829143,(D),(D),45224266,(D),74526288,(D),145520039,575102095,312484712,262617382,262520531,171557127,(D),(D),156446504,30364999,126081505,74418929,29465574,44953356,33801689,160841970,(D),(D),(D),(D),(D),(D),1480232981,941371633,209502170,20379626,2631376,186491168,329359178,19303808,76681,48766,10853,1056,136,9661,17062,1088320101,764408075,158451649,107207667,51243982,165460377,58424,165401953,12917191,9736816,3180375,4871,3175504,84254,78507,52087,2,6100000,955000,162,177,90,0,0,5707850,35233.64198,322146876,2,6150000,936000,0,0,2,4000000,443000,1,0,0,0,0,0,0,0.28125,9,1239381,77461.3125,2018
